20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - Request Modify IO form DOMOTICZ: [13, 4, 4, 0]
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
20170401_11:24:23 - ERROR KEY: board_address:4, def_io_type:Did, io:19
